Title,Address,WebSite,PhoneNumber
Family Fitness Фитнес Клуб,"Сулейменова 18, Kokshetau 020000",familyfitness.kz,8 (707) 152 0202
Фитнес Клуб Kapital,Kokshetau 020000,-,8 (7162) 50 05 00
"Sportivnyy Kompleks ""Arena Fitnes""","Ulitsa Mal. Zhumabayeva 52, Kokshetau 020000",-,-
Lok Bodrost',"Ulitsa Kanaybi 33, Kokshetau 020000",bax.kz,8 (7162) 44 29 10
"Sportkompleks ""Kazhymukan""",Kokshetau 020000,-,8 (7162) 77 08 11
Legkoatleticheskiy Manezh,"Abay Street 122, Kokshetau 020000",-,-
Tennisnyy Tsentr,"Maly Gorkogo St, Kokshetau 020000",-,8 (7162) 42 07 80
Gu Upravleniye Turizma I Sporta Akmolinskoy Oblasti,"Abay Street 11, Kokshetau 020000",-,-
Fok Pri Sel'khozinstitute,Kokshetau 020000,-,-
"Dyufsh,, Okzhetpes""","Ulitsa Krasnaya 150, Kokshetau 020000",-,-
DERBY academy,"Ulitsa Kanaybi 24, Kokshetau 020000",derbyacademy.kz,-
"""Domino""","Akan Seri St, Kokshetau 020000",-,8 (7162) 25 30 61
Sportivnyy Klub Po Igrovym Vidam Sporta,"Abay Street 116-122, Kokshetau 020000",-,-
"Fitnes-Klub ""Yaguar""","Ulitsa Abylay-Khana 18/2, Shchuchinsk 020000",instagram.com,8 (71636) 3 81 03
Trenazhernyy Zal,"Ulitsa Konstitutsii Kazakhstana 54, Petropavl 150000",-,-
Lider,"Абай Көшесі, Petropavl 150000",-,-
"Dvorets Sporta ""Burabay""","Burabay, A-343 85, Kokshetau 020000",dsb.kz,8 (7162) 32 82 84
Sto,Sergeevka 150000,-,-
Тренажерный Зал XXL,Nur-Sultan 010000,-,-
Grand Gym,"020000, Nur-Sultan",-,8 (707) 177 7327
Fitness room,"Kenzhebek Kumisbekov St 7, Nur-Sultan 020000",-,8 (778) 169 2621
Argo,"Mira St 41, Stepnogorsk 021501",-,8 (71645) 6 38 78
Grand Fitness,"Сары Арка 31/2, вход со стороны ул.Жангельдина, проспект Сарыарка, Saryarka Avenue, Nur-Sultan 020000",business.site,8 (702) 132 8294
T-Tau,"Respublika Ave, Nur-Sultan 010000",vk.com,8 (7172) 40 38 27
ДЮСШ «Триатлон»,Kokshetau 020000,-,8 (7162) 42 05 91
Start,"Здание 7,, Tselinogradskaya st. 50, Stepnogorsk",-,8 (71645) 3 60 59
Sportzal,"Ulitsa Muravlenko, 13, Tyumen, Tyumen Oblast, Russia, 625022",-,-
Trenazhernyy Zal,Karagandy 100000,-,-
Flex Gym,"Ulitsa Pushkina, 59, Omsk, Omsk Oblast, Russia, 644010",flexgym55.ru,+7 381 266-66-99
Rekord,"110000, Al Farabi Ave 124, Kostanay",-,8 (7142) 56 87 08
Фитнес Клуб World CLASS,Karagandy 100000,worldclass.kz,-
Okzhetpes Stadium,"Abay Street 116, Kokshetau 020000",okzhetpes.kz,8 (7162) 92 60 16
Space Fitness,"Amanat St, Nur-Sultan 010000",spacefitness.kz,8 (707) 650 5050
Gym Studio,"Karla Marksa Prospekt, 32, Omsk, Omsk Oblast, Russia, 644042",-,+7 381 232-05-00
ENERGY CLUB,"3, Lomov St 164/11, Pavlodar",-,8 (7182) 66 37 85
Life Fitness,"Туркестан, 2, Nur-Sultan 010000",lifefit.kz,8 (7172) 79 73 73
Trenazhernyy Zal,"Auezov Street, Aksu 140000",-,-
Фитнес-клуб Prime,"Ulitsa Kuybysheva, 55, 2 этаж, Kurgan, Kurgan Oblast, Russia, 640020",kurgan.zoon.ru,+7 912 573-56-83
Sportzal,"Ulitsa Malysheva, 138а, Yekaterinburg, Sverdlovsk Oblast, Russia, 620078",-,-
Ples,Shoptykol 020000,-,-
Sportzal,"Yemashi, Republic of Bashkortostan, Russia, 452590",-,-
"Gostinitsa ""Dostyk""","Abay Street 69, Kokshetau 020000",dostyqhotel.kz,-
